Country Name,Code,Indicator Name,Indicator Code,2019,2020,2021,2022
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,848.3045346,886.6995115,976.6661831,942.6499016
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7628.576033,7001.78546,7060.897707,6909.956285
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,889.0233718,852.3302296,916.6919671,1054.189484
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,7344.880204,7330.366288,7885.299896,8792.548504
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,8593.061308,7186.562493,8262.542085,9324.959304
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1583.078603,1663.559629,2741.95082,2389.295875
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,3473.741368,3118.749032,3589.595352,4001.122645
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4878.978686,4605.970841,4425.971492,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1965.094236,1853.845901,2136.192891,2287.416124
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1631.312141,1490.349666,1635.217341,1701.245382
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,15642.40672,13705.90023,16056.30204,19629.46534
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3477.836181,3497.719027,3807.184109,3747.419391
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9215.440875,8638.739133,9743.213131,10674.50417
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,4940.050983,4674.911403,5372.760239,5221.532799
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1050.931763,1104.164429,1146.031982,1192.766479
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,823.0247329,846.8811992,883.4657281,964.3958695
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3661.457764,3751.737305,4827.845703,4533.975586
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,9023.202992,8663.002093,10271.80149,10814.27758
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,18098.36155,15650.4993,17923.99533,20795.04235
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65120.39466,63528.6343,70219.47245,76329.58227
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1795.201768,1759.307471,1993.424478,2255.151155
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,8680.251102,8306.360493,8360.064239,9125.324771
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,38633.52989,39411.04525,41976.00831,
Viet Nam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,3491.09141,3586.347176,3756.488901,4163.514299
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3076.589886,2917.756849,3044.57364,3231.3513
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,11338.15032,10904.14761,12316.10246,12687.74189
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4308.300729,4042.722752,3857.689742,3745.560367
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4416.029253,4310.934002,5269.783901,5340.268798
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,693.816504,578.5120105,543.6375376,650.2722184
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6702.526617,5753.066494,7073.612754,6766.481254
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1268.120941,956.831729,1134.713454,1456.90157
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1421.868596,1372.696674,1773.920411,1676.821489
