Country,Subtopic,Status,Justification
Armenia,Digital sequence information (DSI),DSI is not addressed,A prior informed consent process is required prior to accessing the requested resource.
Armenia,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Armenia,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Armenia,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Armenia,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Armenia,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Armenia,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Australia,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material. The specifics of this vary depending on the state or territory or provenance.
Australia,Digital sequence information (DSI),DSI is explicitly excluded,"Australia views that there is a distinction between the concepts of ""genetic material"" and DSI. As a result Australia views that DSI is not covered by their ABS legislation."
Australia,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes. The specifics of this vary depending on the state or territory or provenance.
Australia,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource. The specifics of this vary depending on the state or territory or provenance.
Australia,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession. The specifics of this vary depending on the state or territory or provenance."
Australia,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits. The specifics of this vary depending on the state or territory or provenance."
Australia,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so. The specifics of this vary depending on the state or territory or provenance."
Australia,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. The specifics of this vary depending on the state or territory or provenance."
Austria,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Austria,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Austria,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Austria,Prior informed consent (PIC),Access is unrestricted,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Austria,Contractual terms,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Austria,Benefit-sharing,Access is unrestricted,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Austria,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Austria,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Azerbaijan,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Azerbaijan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Azerbaijan,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Azerbaijan,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Azerbaijan,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Azerbaijan,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Azerbaijan,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Azerbaijan,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Bahamas,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Bahamas,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Bahamas,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Bahamas,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Bahamas,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Bahamas,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Bahamas,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Bahamas,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Bahrain,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bahrain,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Bahrain,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bahrain,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bahrain,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bahrain,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bahrain,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bahrain,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bangladesh,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Bangladesh,Digital sequence information (DSI),DSI potentially included,"Genetic resources are defined as ""the biological material including (...) its various expressions and embodiments in knowledge"". This could be construed to include genetic sequence information."
Bangladesh,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Bangladesh,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Bangladesh,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession, however no model contracts or guidance has been provided."
Bangladesh,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Bangladesh,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Bangladesh,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Barbados,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Barbados,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Barbados,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Barbados,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Barbados,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Barbados,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Barbados,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Barbados,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Belarus,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Belarus,Digital sequence information (DSI),DSI potentially included,"While there is no clear mention within legislation of this subject, Belarus has mentioned in a CBD report that ""commercialization of products arising from DSI can be considered a triggering event for benefit-sharing""."
Belarus,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Belarus,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Belarus,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Belarus,Benefit-sharing,Access is restricted but benefit-sharing is not addressed,There are no specific benefit-sharing requirements outlined in the ABS legislation.
Belarus,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Belarus,Legal sanctions,No penalties specified,There are no specific penalties found in the legislation which describe cases of non-compliance.
Belgium,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Belgium,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Belgium,Access to resources,Access is unrestricted,"Access is unrestricted for both commercial and non-commercial purposes, but does warrant a notification to the competent national authority."
Belgium,Prior informed consent (PIC),Access is unrestricted,"There is no prior consent-seeking process specified in this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Belgium,Contractual terms,Access is unrestricted,"There is no specific contract-setting process in country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Belgium,Benefit-sharing,Access is unrestricted,Benefit-sharing requirements exist for access with commercial use.
Belgium,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Belgium,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. "
Belize,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Belize,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Belize,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Belize,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Belize,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Belize,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Belize,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Belize,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Benin,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Benin,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Benin,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Benin,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Benin,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form, called ""Accord Type de Transfert de Materiel"". This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Benin,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Benin,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Benin,Legal sanctions,No penalties specified,There are no specific penalties found in the legislation which describe cases of non-compliance.
Bhutan,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Bhutan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Bhutan,Access to resources,Access is restricted,"Access to the resource within this territory is restricted, with exceptions made for certain circumstances."
Bhutan,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Bhutan,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Bhutan,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Bhutan,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Bhutan,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Bolivia (Plurinational State of),Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bolivia (Plurinational State of),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Bolivia (Plurinational State of),Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bolivia (Plurinational State of),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bolivia (Plurinational State of),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bolivia (Plurinational State of),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bolivia (Plurinational State of),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bolivia (Plurinational State of),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bosnia and Herzegovina,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bosnia and Herzegovina,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Bosnia and Herzegovina,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bosnia and Herzegovina,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bosnia and Herzegovina,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bosnia and Herzegovina,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bosnia and Herzegovina,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bosnia and Herzegovina,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Botswana,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Botswana,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Botswana,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Botswana,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Botswana,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Botswana,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Botswana,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Botswana,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Brazil,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Brazil,Digital sequence information (DSI),DSI is included,"The provisions of the law refer to ""genetic heritage"", which is defined as ""genetic information from plants, animals, or microbial species"". This is deemed to cover Digital Sequence Information."
Brazil,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Brazil,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Brazil,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Brazil,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Brazil,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Brazil,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Brunei Darussalam,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Brunei Darussalam,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Brunei Darussalam,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Brunei Darussalam,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Brunei Darussalam,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Brunei Darussalam,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Brunei Darussalam,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Brunei Darussalam,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Bulgaria,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Bulgaria,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Bulgaria,Access to resources,Access is restricted,"Access to the resource within this territory is restricted for commercial purposes, but may be provided for free for scientific or non-commercial purposes."
Bulgaria,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Bulgaria,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession. "
Bulgaria,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Bulgaria,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Bulgaria,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Burkina Faso,Scope of legislation,Legislation does not cover microorganisms,"Legislation specific to flora, fauna, and aquaculture exists, however nothing that would apply to microorganisms."
Burkina Faso,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Burkina Faso,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Burkina Faso,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Burkina Faso,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Burkina Faso,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Burkina Faso,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Burkina Faso,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Burundi,Scope of legislation,No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Burundi,Digital sequence information (DSI),DSI is not addressed,Draft Laws published in 2017 but not yet passed
Burundi,Access to resources,No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Burundi,Prior informed consent (PIC),No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Burundi,Contractual terms,No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Burundi,Benefit-sharing,No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Burundi,Compliance,No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Burundi,Legal sanctions,No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Cabo Verde (Cape Verde),Scope of legislation,Legislation does not cover microorganisms,"Flora and Fauna is protected under the Environmental act, however no mention of micro-organisms"
Cabo Verde (Cape Verde),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
